City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
305,Garowe,SO,77.32,clear sky,8.4054,48.4845,Curubo Hotel
306,Pontal Do Parana,BR,78.46,overcast clouds,-25.6533,-48.5128,Eco Hostel Residencial Bananeiras
311,Porto Novo,BJ,78.98,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
314,Warri,NG,77.47,overcast clouds,5.5167,5.75,BON Hotel Delta
319,Caravelas,BR,79.23,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
323,Atar,MR,80.65,overcast clouds,20.5169,-13.0499,Oumou Elghoura
324,Toma,BF,86.18,light rain,12.7667,-2.8833,Auberge de l'amitié
325,Kinshasa,CD,84.58,few clouds,-4.3246,15.3215,Flat Hotel Alhdeef
328,Barahona,DO,87.62,few clouds,18.2085,-71.1008,Hotel Caribe
330,Kirakira,SB,80.74,broken clouds,-10.4544,161.9205,SanBiz Lodge
334,Iracoubo,GF,82.96,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
337,Bajil,YE,86.58,clear sky,15.0584,43.2851,فندق حضرموت
342,Auki,SB,77.67,few clouds,-8.7676,160.7034,Auki Motel
343,Matara,LK,76.5,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
346,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
347,Lufilufi,WS,80.38,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
356,Carutapera,BR,82.94,overcast clouds,-1.195,-46.02,Lidera
360,Le Vauclin,MQ,87.93,few clouds,14.5452,-60.8388,Hôtel Cap Macabou
361,West Bay,KY,89.08,few clouds,19.3667,-81.4167,Calypso Cove
364,Wukari,NG,77.97,clear sky,7.85,9.7833,Elimtop
368,Honiara,SB,77.11,scattered clouds,-9.4333,159.95,Heritage Park Hotel
372,Sainte-Anne,GP,87.19,few clouds,16.2333,-61.3667,HOTEL LE ROTABAS
373,San Cristobal,VE,80.78,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
375,Cartagena,CO,87.42,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
382,Amahai,ID,78.37,light rain,-3.3333,128.9167,HOTEL ISABELA
389,Mitsamiouli,KM,80.89,few clouds,-11.3847,43.2844,Foyer ADM
397,Barmer,IN,76.82,clear sky,25.75,71.3833,OYO 71911 Hotel Amber Palace
398,Pemba,MZ,79.5,few clouds,-12.974,40.5178,Guesthouse Samotina
400,Carauari,BR,86.04,overcast clouds,-4.8828,-66.8958,Hotel Fellip
402,Oussouye,SN,86.09,broken clouds,12.485,-16.5469,Auberge du Routard
403,Gat,IL,78.4,broken clouds,31.61,34.7642,OlusHome
404,Shakawe,BW,76.69,broken clouds,-18.3667,21.85,Ditlhapi Guest House
405,Jambi,ID,75.69,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
408,Edgewater,US,86.02,mist,28.9889,-80.9023,Islander Beach Resort
412,Sao Jose Da Coroa Grande,BR,80.46,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
432,Pacific Grove,US,76.57,clear sky,36.6177,-121.9166,Lovers Point Inn
450,Hambantota,LK,77.34,light intensity shower rain,6.1241,81.1185,Bungalow 63
459,Cockburn Town,TC,85.96,few clouds,21.4612,-71.1419,Osprey Beach Hotel
460,Calama,CL,75.69,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
461,Tomatlan,MX,88.03,scattered clouds,19.9333,-105.25,El Salvial
465,Salinopolis,BR,81.43,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
466,Kalmunai,LK,79.12,light rain,7.4167,81.8167,VS Villa
468,Guerrero Negro,MX,81.5,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
484,Coari,BR,87.39,broken clouds,-4.085,-63.1414,HOTEL ALEX FLAT
487,Marsh Harbour,BS,83.82,broken clouds,26.5412,-77.0636,Abaco Beach Resort
488,Pitimbu,BR,86.59,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
492,Bubaque,GW,83.01,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
498,Nhulunbuy,AU,75.81,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
506,Nossa Senhora Da Gloria,BR,81.39,overcast clouds,-10.2183,-37.4203,Pousada E Restaurante Caçuá
508,Torit,SS,78.51,few clouds,4.4133,32.5678,Diplomat Guest House
517,Manggar,ID,78.42,overcast clouds,-2.8833,108.2667,Guest Hotel
518,Bandiagara,ML,77.43,overcast clouds,14.3501,-3.6104,Hotel de la Falaise
521,Sulangan,PH,82.27,broken clouds,11.1373,123.7228,Maia's Beach Resort
522,Sohag,EG,80.89,overcast clouds,26.557,31.6948,Civil Registry - Sohag 1
524,Manacapuru,BR,82.98,overcast clouds,-3.2997,-60.6206,Novo Hotel
525,Natal,BR,86.65,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
538,Seminole,US,86.0,scattered clouds,28.7086,-81.2081,Ono Hot Dog Cart and Catering
541,Upata,VE,83.57,broken clouds,8.0086,-62.3989,Posada Villa Nela
543,Salinas,US,76.96,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
548,Santo Antonio Do Ica,BR,77.67,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
549,Praya,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
551,Sao Mateus Do Maranhao,BR,80.04,overcast clouds,-4.0417,-44.475,Pousada Pingo De Ouro
556,Kariba,ZW,80.53,clear sky,-16.5167,28.8,Caribbea Bay Hotel
558,Sola,VU,79.47,scattered clouds,-13.8833,167.55,Leumerus Bungalows
570,Hays,US,77.52,clear sky,30.0502,-98.0336,Sinya on Lone Man Creek
573,Acapulco,MX,87.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
578,Dutse,NG,82.11,few clouds,11.7594,9.3392,Central Mosque Galamawa
580,Kudahuvadhoo,MV,81.66,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
582,Vallenar,CL,86.76,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
583,Wanning,CN,76.19,overcast clouds,18.8003,110.3967,Paradise Hotel
585,Sinnamary,GF,83.19,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
591,San Carlos Del Zulia,VE,89.71,broken clouds,9.0,-71.9135,Hotel El Manantial
592,Kattivakkam,IN,78.89,broken clouds,13.2167,80.3167,Euronova Freezer
595,Calamar,CO,87.75,overcast clouds,10.2511,-74.9146,Hostal Katyalex
597,Takoradi,GH,79.18,overcast clouds,4.8845,-1.7554,Raybow International Hotel
600,Luwuk,ID,78.08,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
605,Manaus,BR,86.49,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
607,Kuching,MY,77.22,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
610,Beruwala,LK,77.13,moderate rain,6.4788,79.9828,The Palms Hotel
616,Lazaro Cardenas,MX,84.38,clear sky,17.9583,-102.2,quinta antigua
624,Santana Do Paraiso,BR,84.52,clear sky,-19.3636,-42.5686,Espaço Vó Filinha
625,Dakar,SN,84.33,few clouds,14.6937,-17.4441,Redface Studios Meublés
629,Buala,SB,80.74,light rain,-8.145,159.5921,Maringe Lagoon Lodge
631,Mbour,SN,84.29,overcast clouds,14.422,-16.9638,Tama Lodge
639,Maumere,ID,81.07,overcast clouds,-8.6199,122.2111,Sylvia Hotel
640,Eyl,SO,77.49,scattered clouds,7.9803,49.8164,Amiin Hotel
644,Banjar,ID,82.26,overcast clouds,-8.19,114.9675,The Hamsa Resort
645,Rocha,UY,82.67,clear sky,-34.4833,-54.3333,Beleza Pura B&B
647,Ullal,IN,81.55,mist,12.8,74.85,AK INTERNATIONAL LODGE
649,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
651,Omboue,GA,76.75,overcast clouds,-1.5746,9.2618,Hotel Olako
