City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Xining,CN,36.6167,101.7667,37.45,76,28,1.16,scattered clouds
258,Salihorsk,BY,52.7876,27.5415,52.79,90,100,4.99,overcast clouds
259,Safaga,EG,26.7292,33.9365,78.75,41,0,2.98,clear sky
260,Hervey Bay,AU,-25.2986,152.8535,75.04,82,5,17.96,clear sky
261,Nalut,LY,30.3333,10.85,67.01,43,100,6.2,overcast clouds
262,Coihaique,CL,-45.5752,-72.0662,65.01,44,100,8.93,overcast clouds
263,Abu Samrah,SY,35.3029,37.1841,65.17,46,100,8.32,overcast clouds
264,Tautira,PF,-17.7333,-149.15,80.62,83,22,11.68,moderate rain
265,Sheksna,RU,59.21,38.5107,31.96,85,100,4.07,overcast clouds
266,Praia Da Vitoria,PT,38.7333,-27.0667,68.76,83,40,7.54,scattered clouds
267,Clyde River,CA,70.4692,-68.5914,34.03,93,90,16.11,light snow
268,Pocone,BR,-16.2567,-56.6228,96.75,32,100,7.81,overcast clouds
269,Pevek,RU,69.7008,170.3133,1.58,96,100,4.34,overcast clouds
270,Walvis Bay,NA,-22.9575,14.5053,67.15,68,75,8.05,broken clouds
271,Avera,US,33.194,-82.5271,62.44,97,100,14.43,overcast clouds
272,Hasaki,JP,35.7333,140.8333,52.29,55,72,28.14,broken clouds
273,Nanortalik,GL,60.1432,-45.2371,36.61,70,100,4.59,overcast clouds
274,Nikolskoye,RU,59.7035,30.7861,46.87,87,100,8.43,overcast clouds
275,Tiksi,RU,71.6872,128.8694,11.44,96,100,4.72,overcast clouds
276,Acucena,BR,-19.0731,-42.5464,84.72,67,80,6.06,broken clouds
277,Carnot,CF,4.9409,15.8665,71.56,95,19,2.3,light rain
278,Sept-Iles,CA,50.2001,-66.3821,50.52,43,20,3.44,few clouds
279,Serra Talhada,BR,-7.9919,-38.2983,92.7,28,19,17.87,few clouds
280,Dondo,MZ,-19.6094,34.7431,74.71,73,56,6.15,broken clouds
281,Kruszwica,PL,52.6756,18.3313,50.32,87,12,8.03,few clouds
282,Jurm,AF,36.8648,70.8342,44.55,84,100,2.17,overcast clouds
283,Marquette,US,46.5333,-87.6335,53.37,91,100,6.89,overcast clouds
