City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Kochi,IN,2021-10-22 03:39:50,9.9399,76.2602,82.38,78,37,2.46
164,Road Town,VG,2021-10-22 03:40:40,18.4167,-64.6167,83.19,68,8,21.07
165,Kavieng,PG,2021-10-22 03:40:41,-2.5744,150.7967,82.04,76,100,7.85
166,Voznesenye,RU,2021-10-22 03:40:41,61.0106,35.4781,50.23,79,98,15.35
167,Kilis,TR,2021-10-22 03:36:34,36.7161,37.115,43.03,30,0,4.52
168,Urengoy,RU,2021-10-22 03:40:42,65.9667,78.3667,28.31,96,81,5.41
169,Biak,ID,2021-10-22 03:38:11,-0.9131,122.8766,80.24,75,100,5.86
170,Jumla,NP,2021-10-22 03:40:43,29.2747,82.1838,63.54,52,0,3.76
171,Sungaipenuh,ID,2021-10-22 03:40:44,-2.0833,101.3833,77.83,65,77,2.73
172,Santa Rosa,PH,2021-10-22 03:40:45,14.3122,121.1114,90.09,71,94,10.4
173,Halifax,CA,2021-10-22 03:39:34,44.6453,-63.5724,59.22,93,100,8.05
174,Tikapur,NP,2021-10-22 03:40:46,28.5,81.1333,79.39,71,0,3.49
175,Portland,US,2021-10-22 03:37:15,45.5234,-122.6762,58.17,94,90,1.01
176,Port Blair,IN,2021-10-22 03:40:47,11.6667,92.75,84.49,72,100,2.73
177,High Level,CA,2021-10-22 03:40:48,58.5169,-117.136,35.71,69,1,2.3
178,Jinchang,CN,2021-10-22 03:40:48,38.4953,102.1739,55.06,34,1,5.53
179,Sirpur,IN,2021-10-22 03:40:49,19.4833,79.6,76.98,61,7,3.8
180,Storm Lake,US,2021-10-22 03:40:50,42.6411,-95.2097,36.16,93,1,4.61
181,Maryville,US,2021-10-22 03:40:50,35.7565,-83.9705,66.15,95,90,1.99
182,Sijunjung,ID,2021-10-22 03:40:51,-0.6876,100.9537,87.03,61,100,1.74
183,Saldanha,ZA,2021-10-22 03:36:53,-33.0117,17.9442,59.05,83,100,19.37
184,Caravelas,BR,2021-10-22 03:40:51,-17.7125,-39.2481,72.12,92,100,8.14
185,Kruisfontein,ZA,2021-10-22 03:40:52,-34.0033,24.7314,61.88,90,100,3.78
186,Nhulunbuy,AU,2021-10-22 03:40:52,-12.2333,136.7667,93.81,52,20,13.8
187,Victor Harbor,AU,2021-10-22 03:40:53,-35.5667,138.6167,76.19,63,12,4.0
188,Riyadh,SA,2021-10-22 03:39:28,24.6877,46.7219,66.34,38,3,4.74
189,Georgetown,MY,2021-10-22 03:36:46,5.4112,100.3354,87.89,70,40,1.01
190,Fortuna,US,2021-10-22 03:40:55,40.5982,-124.1573,61.2,75,90,3.0
191,Moura,PT,2021-10-22 03:40:56,38.1401,-7.4486,51.91,84,0,7.56
192,Thompson,CA,2021-10-22 03:40:56,55.7435,-97.8558,28.56,93,75,4.61
193,Henties Bay,NA,2021-10-22 03:40:57,-22.116,14.2845,52.86,89,0,2.04
194,Mackay,AU,2021-10-22 03:40:57,-21.15,149.2,88.68,62,75,17.27
195,Luderitz,NA,2021-10-22 03:40:58,-26.6481,15.1594,54.84,88,22,8.86
196,Divnogorsk,RU,2021-10-22 03:40:59,55.9594,92.3619,43.29,49,100,6.49
197,Doha,QA,2021-10-22 03:39:10,25.2867,51.5333,84.18,52,0,13.8
198,Bedford,GB,2021-10-22 03:41:00,52.1346,-0.4663,44.91,90,8,13.4
199,Alofi,NU,2021-10-22 03:39:14,-19.0595,-169.9187,76.89,65,75,18.41
200,Marienburg,PL,2021-10-22 03:38:34,54.0359,19.0266,46.06,71,72,19.71
201,Fernie,CA,2021-10-22 03:41:01,49.5,-115.0687,46.62,77,100,2.39
202,Marondera,ZW,2021-10-22 03:41:01,-18.1853,31.5519,56.07,72,87,7.16
203,Havelock,US,2021-10-22 03:37:23,34.8791,-76.9013,73.38,82,1,1.01
204,Nioro,GM,2021-10-22 03:41:02,13.35,-15.75,75.96,88,100,4.18
205,Fuerte Olimpo,PY,2021-10-22 03:41:03,-21.0415,-57.8738,71.78,57,0,5.21
206,Panzhihua,CN,2021-10-22 03:41:03,26.5851,101.7128,57.22,84,100,3.04
207,Iqaluit,CA,2021-10-22 03:37:42,63.7506,-68.5145,28.13,86,90,11.01
208,Lapao,BR,2021-10-22 03:41:04,-11.3833,-41.8319,69.26,88,100,8.34
209,Gamba,GA,2021-10-22 03:41:04,-2.65,10.0,75.22,90,100,6.98
210,Lidzbark Warminski,PL,2021-10-22 03:41:05,54.1259,20.5795,44.24,73,85,21.65
211,Kulhudhuffushi,MV,2021-10-22 03:41:05,6.6221,73.07,81.32,78,60,5.86
212,Dingle,PH,2021-10-22 03:36:51,10.9995,122.6711,84.63,75,76,12.35
213,Whyalla,AU,2021-10-22 03:41:06,-33.0333,137.5833,75.09,33,77,10.36
214,Los Llanos De Aridane,ES,2021-10-22 03:41:07,28.6585,-17.9182,69.55,86,90,1.01
215,Cherepovets,RU,2021-10-22 03:41:07,59.1333,37.9,51.62,87,90,15.66
216,Ambagarh Chauki,IN,2021-10-22 03:41:08,20.7833,80.7167,78.3,46,6,2.93
217,Vila Velha,BR,2021-10-22 03:41:08,-20.3297,-40.2925,67.95,77,75,3.44
218,Guarapari,BR,2021-10-22 03:41:09,-20.6667,-40.4975,67.89,82,95,4.18
219,Muravlenko,RU,2021-10-22 03:41:09,63.7898,74.523,30.24,97,100,11.5
220,Narsaq,GL,2021-10-22 03:41:10,60.9167,-46.05,28.62,53,100,6.87
221,Eureka,US,2021-10-22 03:38:31,40.8021,-124.1637,59.67,94,100,5.99
222,Calamar,CO,2021-10-22 03:41:11,10.2511,-74.9146,78.75,92,43,5.53
223,Tasiilaq,GL,2021-10-22 03:41:11,65.6145,-37.6368,35.76,69,100,3.8
224,Tomesti,RO,2021-10-22 03:41:12,47.1167,27.6833,59.13,59,0,5.01
225,Zaozerne,UA,2021-10-22 03:41:12,45.1582,33.2787,58.95,82,0,19.15
226,Mocuba,MZ,2021-10-22 03:41:13,-16.8392,36.9856,69.06,75,69,4.61
227,Willmar,US,2021-10-22 03:41:14,45.1219,-95.0433,37.42,87,1,4.61
228,Chernyshevskiy,RU,2021-10-22 03:41:14,63.0128,112.4714,34.77,88,90,8.1
229,Vostok,RU,2021-10-22 03:41:15,46.4856,135.8833,33.73,74,99,7.27
230,Brazzaville,CG,2021-10-22 03:41:16,-4.2658,15.2832,77.31,83,100,4.61
231,Mujiayingzi,CN,2021-10-22 03:41:17,42.1167,118.7833,48.45,28,0,8.52
232,Adana,TR,2021-10-22 03:38:58,36.985,35.2881,57.22,54,0,0.0
233,Nassau,US,2021-10-22 03:39:30,40.7507,-73.5829,66.47,74,1,1.99
234,Rongcheng,CN,2021-10-22 03:41:18,30.634,117.8517,61.7,63,99,5.64
235,Rocha,UY,2021-10-22 03:41:18,-34.4833,-54.3333,50.25,93,0,6.49
236,Chillicothe,US,2021-10-22 03:37:27,39.3331,-82.9824,54.88,72,75,1.99
237,Aksu,CN,2021-10-22 03:41:19,41.1231,80.2644,59.13,23,84,3.6
238,Kattivakkam,IN,2021-10-22 03:41:21,13.2167,80.3167,86.09,65,28,3.13
239,Niono,ML,2021-10-22 03:41:22,14.2526,-5.993,79.88,65,64,4.34
240,Erzin,TR,2021-10-22 03:41:22,36.9559,36.2,50.52,33,0,4.23
241,Faya,SA,2021-10-22 03:41:23,18.3851,42.4509,57.72,31,79,6.13
242,Hasaki,JP,2021-10-22 03:41:23,35.7333,140.8333,54.28,85,100,20.8
243,Imbituba,BR,2021-10-22 03:41:24,-28.24,-48.6703,65.82,88,14,10.07
244,Ponta Do Sol,PT,2021-10-22 03:41:24,32.6667,-17.1,69.71,63,40,4.38
245,Port Keats,AU,2021-10-22 03:41:25,-14.25,129.55,91.83,57,62,12.66
246,Castro,BR,2021-10-22 03:41:26,-24.7911,-50.0119,49.71,95,2,2.8
247,Srednekolymsk,RU,2021-10-22 03:41:27,67.45,153.6833,0.68,92,76,5.48
248,San Matias,BO,2021-10-22 03:41:27,-16.3667,-58.4,81.68,54,27,4.12
249,Nemuro,JP,2021-10-22 03:41:28,43.3236,145.575,50.43,72,92,6.08
250,Pangnirtung,CA,2021-10-22 03:41:28,66.1451,-65.7125,27.37,80,100,2.51
251,Yishui,CN,2021-10-22 03:41:29,35.7847,118.6281,60.33,38,16,11.21
252,Katsuura,JP,2021-10-22 03:41:29,35.1333,140.3,54.19,91,100,14.23
253,San Ramon,US,2021-10-22 03:41:30,37.7799,-121.978,66.67,87,1,4.0
254,Karratha,AU,2021-10-22 03:36:37,-20.7377,116.8463,95.77,19,0,14.12
255,Lipno,PL,2021-10-22 03:41:31,52.8444,19.1785,43.09,63,73,19.71
256,Buchanan,LR,2021-10-22 03:41:31,5.8808,-10.0467,76.64,86,100,2.68
257,Esperance,AU,2021-10-22 03:41:32,-33.8667,121.9,64.24,53,98,11.59
258,Wyndham,US,2021-10-22 03:41:32,37.6985,-77.6125,68.88,74,4,1.99
259,Alyangula,AU,2021-10-22 03:41:33,-13.8483,136.4192,93.07,43,11,6.91
260,Havre-Saint-Pierre,CA,2021-10-22 03:41:33,50.2334,-63.5986,46.4,100,75,6.91
261,Batsfjord,NO,2021-10-22 03:41:34,70.6345,29.7185,30.42,64,100,20.85
262,Valdivia,CL,2021-10-22 03:41:34,-39.8142,-73.2459,50.09,83,89,0.83
263,Baykalsk,RU,2021-10-22 03:41:35,51.5058,104.1469,43.93,69,0,3.24
264,Quincy,US,2021-10-22 03:38:08,42.2529,-71.0023,65.43,87,75,3.0
265,Rio Grande,BR,2021-10-22 03:41:35,-32.035,-52.0986,52.95,83,0,2.82
266,Byron Bay,AU,2021-10-22 03:41:36,-28.65,153.6167,79.72,80,23,6.15
267,Sitka,US,2021-10-22 03:41:36,57.0531,-135.33,53.49,58,90,14.97
268,Nikolayevskaya,RU,2021-10-22 03:41:37,47.6139,41.5023,45.21,74,85,11.3
269,Sur,OM,2021-10-22 03:41:37,22.5667,59.5289,83.03,52,1,4.23
270,Hurricane,US,2021-10-22 03:41:38,37.1753,-113.2899,66.6,25,100,3.91
271,Ende,ID,2021-10-22 03:41:39,-8.8432,121.6623,89.42,57,73,5.55
272,Neuquen,AR,2021-10-22 03:37:53,-38.9516,-68.0591,60.69,48,20,11.5
273,Orotukan,RU,2021-10-22 03:41:40,62.2667,151.7,-0.11,81,33,1.5
274,Maldonado,UY,2021-10-22 03:41:40,-34.6667,-54.9167,59.23,92,0,7.43
275,Thunder Bay,CA,2021-10-22 03:39:18,48.4001,-89.3168,37.38,69,90,4.61
276,Gigmoto,PH,2021-10-22 03:41:41,13.7796,124.39,85.93,65,94,11.56
277,Dunhua,CN,2021-10-22 03:41:41,43.3725,128.2425,45.79,38,2,14.12
